State,Income,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"43,472",,,,,,,,,,,,,,,,,,,,,,,
Alaska,"61,139",,,,,,,,,,,,,,,,,,,,,,,
Arizona,"48,340",,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"40,591",,,,,,,,,,,,,,,,,,,,,,,
California,"55,751",,,,,,,,,,,,,,,,,,,,,,,
Colorado,"58,555",,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"65,515",,,,,,,,,,,,,,,,,,,,,,,
Delaware,"52,387",,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,"60,826",,,,,,,,,,,,,,,,,,,,,,,
Florida,"46,059",,,,,,,,,,,,,,,,,,,,,,,
Georgia,"47,527",,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"58,272",,,,,,,,,,,,,,,,,,,,,,,
Idaho,"48,186",,,,,,,,,,,,,,,,,,,,,,,
Illinois,"51,716",,,,,,,,,,,,,,,,,,,,,,,
Indiana,"45,766",,,,,,,,,,,,,,,,,,,,,,,
Iowa,"52,355",,,,,,,,,,,,,,,,,,,,,,,
Kansas,"48,557",,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"40,887",,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"40,296",,,,,,,,,,,,,,,,,,,,,,,
Maine,"49,944",,,,,,,,,,,,,,,,,,,,,,,
Maryland,"71,075",,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,"64,146",,,,,,,,,,,,,,,,,,,,,,,
Michigan,"49,957",,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"60,411",,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"39,295",,,,,,,,,,,,,,,,,,,,,,,
Missouri,"48,247",,,,,,,,,,,,,,,,,,,,,,,
Montana,"43,104",,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"54,487",,,,,,,,,,,,,,,,,,,,,,,
Nevada,"47,679",,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"67,538",,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"65,166",,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"43,142",,,,,,,,,,,,,,,,,,,,,,,
New York,"49,687",,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"43,852",,,,,,,,,,,,,,,,,,,,,,,
North Dakota,"56,652",,,,,,,,,,,,,,,,,,,,,,,
Ohio,"44,978",,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"48,937",,,,,,,,,,,,,,,,,,,,,,,
Oregon,"52,189",,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"51,428",,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"53,061",,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"42,661",,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"48,812",,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"43,079",,,,,,,,,,,,,,,,,,,,,,,
Texas,"50,999",,,,,,,,,,,,,,,,,,,,,,,
Utah,"57,497",,,,,,,,,,,,,,,,,,,,,,,
Vermont,"54,264",,,,,,,,,,,,,,,,,,,,,,,
Virginia,"64,278",,,,,,,,,,,,,,,,,,,,,,,
Washington,"60,112",,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"43,124",,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"53,112",,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"56,580",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
