State,Income
AK,61139
AL,43472
AR,40591
AZ,48340
CA,55751
CO,58555
CT,65515
DC,60826
DE,52387
FL,46059
GA,47527
HI,58272
IA,52355
ID,48186
IL,51716
IN,45766
KS,48557
KY,40887
LA,40296
MA,64146
MD,71075
ME,49944
MI,49957
MN,60411
MO,48247
MS,39295
MT,43104
NC,43852
ND,56652
NE,54487
NH,67538
NJ,65166
NM,43142
NV,47679
NY,49687
OH,44978
OK,48937
OR,52189
PA,51428
RI,53061
SC,42661
SD,48812
TN,43079
TX,50999
UT,57497
VA,64278
VT,54264
WA,60112
WI,53112
WV,43124
WY,56580
